month,tprev,tavg,prcp,wspd,pres,pprev,pdiff
2023-09-13 00:00:00,24.2,24.3,2.7,12.8,1007.9,1008.4,
2023-09-14 00:00:00,24.3,24,2.1,11.4,1008,1007.9,
2023-09-15 00:00:00,24,25.2,0,11.8,1007.8,1008,
2023-09-16 00:00:00,25.2,23.9,0,15.1,1007.6,1007.8,
2023-09-17 00:00:00,23.9,24.2,1,15.5,1006.8,1007.6,
2023-09-18 00:00:00,24.2,25.3,2,14.6,1006.8,1006.8,
2023-09-19 00:00:00,25.3,26.7,2,13.9,1008.7,1006.8,
2023-09-20 00:00:00,26.7,25.5,0,11.4,1008.9,1008.7,
2023-09-21 00:00:00,25.5,25.4,0,8.4,1009,1008.9,
2023-09-22 00:00:00,25.4,24.6,4.1,5.8,1009.5,1009,
2023-09-23 00:00:00,24.6,23.6,8.9,5.7,1009.9,1009.5,
2023-09-24 00:00:00,23.6,24.5,25.9,7.9,1010.2,1009.9,
2023-09-25 00:00:00,24.5,25.4,7.1,7.5,1009,1010.2,
2023-09-26 00:00:00,25.4,23.7,0,5.2,1009.2,1009,
2023-09-27 00:00:00,23.7,23.7,38.1,4.4,1008.5,1009.2,
2023-09-28 00:00:00,23.7,24.9,6.1,4.8,1007.4,1008.5,
2023-09-29 00:00:00,24.9,24.8,5.1,5.4,1007,1007.4,
2023-09-30 00:00:00,24.8,25.3,17,8.6,1006.9,1007,
2023-10-01 00:00:00,25.3,24.5,11.9,7.7,1006.9,1006.9,
2023-10-02 00:00:00,24.5,24.1,5.1,9.5,1009.7,1006.9,
2023-10-03 00:00:00,24.1,25.9,0,7.1,1010.7,1009.7,
2023-10-04 00:00:00,25.9,26.2,0,5.8,1011.5,1010.7,
2023-10-05 00:00:00,26.2,24.3,0,5.1,1011.3,1011.5,
2023-10-06 00:00:00,24.3,24.1,0,5,1010.5,1011.3,
2023-10-07 00:00:00,24.1,24.8,0,4.7,1010.6,1010.5,
2023-10-08 00:00:00,24.8,25.3,0,4.4,1011.7,1010.6,
2023-10-09 00:00:00,25.3,25.3,0,4.9,1013,1011.7,
2023-10-10 00:00:00,25.3,25.3,0,4.9,1012.8,1013,
2023-10-11 00:00:00,25.3,25.4,0,4.6,1012.6,1012.8,
2023-10-12 00:00:00,25.4,25.6,0,5.6,1013.1,1012.6,
2023-10-13 00:00:00,25.6,25.9,0,5.8,1013.7,1013.1,
2023-10-14 00:00:00,25.9,25.2,0,5.5,1013.6,1013.7,
2023-10-15 00:00:00,25.2,25.6,0,4.3,1012.1,1013.6,
2023-10-16 00:00:00,25.6,25.6,0,5.2,1011.9,1012.1,
2023-10-17 00:00:00,25.6,26,0,5.6,1013.2,1011.9,
2023-10-18 00:00:00,26,25.7,0,5.8,1014,1013.2,
2023-10-19 00:00:00,25.7,25.8,0,4.7,1013.6,1014,
2023-10-20 00:00:00,25.8,25.1,2.1,5.5,1013.8,1013.6,
2023-10-21 00:00:00,25.1,25.5,0.1,6,1014.3,1013.8,
2023-10-22 00:00:00,25.5,25.6,0,6,1014.5,1014.3,
2023-10-23 00:00:00,25.6,25.3,0,5.6,1013.5,1014.5,
2023-10-24 00:00:00,25.3,25.5,0,5.3,1013.1,1013.5,
2023-10-25 00:00:00,25.5,25.1,0,6.1,1014.6,1013.1,
2023-10-26 00:00:00,25.1,24.2,0,6.9,1015.1,1014.6,
2023-10-27 00:00:00,24.2,23.3,0,7,1013.8,1015.1,
2023-10-28 00:00:00,23.3,23.4,0,6.4,1013.5,1013.8,
2023-10-29 00:00:00,23.4,23.4,0,6.6,1013.2,1013.5,
2023-10-30 00:00:00,23.4,23.8,0,6.9,1013,1013.2,
2023-10-31 00:00:00,23.8,23.8,0,7.3,1013.8,1013,
2023-11-01 00:00:00,23.8,23.1,0,6.4,1014.5,1013.8,
2023-11-02 00:00:00,23.1,23.6,0,6,1013.5,1014.5,
2023-11-03 00:00:00,23.6,23.9,0,6.3,1011.7,1013.5,
2023-11-04 00:00:00,23.9,24.2,0,6.4,1011.5,1011.7,
2023-11-05 00:00:00,24.2,24.7,0,6.6,1012.8,1011.5,
2023-11-06 00:00:00,24.7,23.9,0,8,1014.1,1012.8,
2023-11-07 00:00:00,23.9,24.4,0,5.9,1013.8,1014.1,
2023-11-08 00:00:00,24.4,24.6,0.7,7.1,1013.3,1013.8,
2023-11-09 00:00:00,24.6,24.3,6.5,7.4,1014,1013.3,
2023-11-10 00:00:00,24.3,23.5,2.9,6,1015.5,1014,
2023-11-11 00:00:00,23.5,24.4,0,6.5,1015.7,1015.5,
2023-11-12 00:00:00,24.4,24.1,0,6.4,1015.6,1015.7,
2023-11-13 00:00:00,24.1,23.9,0,4.7,1015.3,1015.6,
2023-11-14 00:00:00,23.9,23.4,0,4.5,1014.5,1015.3,
2023-11-15 00:00:00,23.4,22.8,0,6.5,1014.4,1014.5,
2023-11-16 00:00:00,22.8,22.3,0,5.3,1014.7,1014.4,
2023-11-17 00:00:00,22.3,22.3,0,6.5,1014.8,1014.7,
2023-11-18 00:00:00,22.3,22.6,0,5.5,1013.8,1014.8,
2023-11-19 00:00:00,22.6,24,0,4.9,1013.6,1013.8,
2023-11-20 00:00:00,24,24.2,0,6.7,1014,1013.6,
2023-11-21 00:00:00,24.2,23.3,0,7.1,1014,1014,
2023-11-22 00:00:00,23.3,23.3,0,5.7,1013.2,1014,
2023-11-23 00:00:00,23.3,23.2,0,4.8,1011.4,1013.2,
2023-11-24 00:00:00,23.2,23.4,1,7.3,1011.7,1011.4,
2023-11-25 00:00:00,23.4,23.4,1,7.7,1013.4,1011.7,
2023-11-26 00:00:00,23.4,23.3,3.4,8.7,1013.5,1013.4,
2023-11-27 00:00:00,23.3,22.7,0.5,5.7,1012.3,1013.5,
2023-11-28 00:00:00,22.7,22.6,0,4.7,1011.5,1012.3,
2023-11-29 00:00:00,22.6,22.7,0,5.8,1012.2,1011.5,
2023-11-30 00:00:00,22.7,22.8,0,6.1,1012.7,1012.2,
2023-12-01 00:00:00,22.8,22.4,0,4.4,1012.6,1012.7,
2023-12-02 00:00:00,22.4,23.1,0.1,7.9,1011.6,1012.6,
2023-12-03 00:00:00,23.1,23.2,0,7.2,1012.3,1011.6,
